Fecha,Rótulo,Localidad,IDProvincia,Precio Gasolina 95 E5,Precio Gasoleo A
2026-04-14,ESTACION PLAYA BLANCA,YAIZA,35,1.449,1.649
2026-04-14,COMBUSTIBLES CANARIOS,YAIZA,35,1.449,1.619
2026-04-14,E.S.DISA YAIZA,YAIZA,35,1.519,1.759
2026-04-14,MARINA RUBICON,PLAYA BLANCA,35,1.419,1.619
2026-04-14,REPSOL,ADEJE,38,1.464,1.648
2026-04-14,BP COOP SAN SEBASTIAN,ADEJE,38,1.465,1.649
2026-04-14,PLENERGY,ADEJE,38,1.349,1.489
2026-04-14,BP LA ATALAYA,ADEJE,38,1.464,1.648
2026-04-14,SHELL,ADEJE,38,1.464,1.648
2026-04-14,TGAS-TU TRÉBOL,ADEJE,38,1.356,1.48
2026-04-14,GMOIL,ADEJE,38,1.339,1.499
2026-04-14,DISA,FAÑABE,38,1.498,1.605
2026-04-14,DISA FAÑABE,FAÑABE,38,1.475,1.649
2026-04-14,BP SIAM MALL,PLAYA DE LAS AMERICAS,38,1.465,1.649
2026-04-14,REPSOL,ARMEÑIME,38,1.475,1.649
2026-04-14,DISA TIJOCO,TIJOCO BAJO,38,1.555,1.729
2026-04-14,MOEVE,CALDERA (LA),38,1.469,1.634
2026-04-14,H2GO MAXO ARMEÑIME,ADEJE,38,1.455,1.629
2026-04-14,OCÉANO PLAYA SANTIAGO,ALAJERO,38,1.669,1.859
2026-04-14,CEPSA,ARAFO,38,1.439,1.634
2026-04-14,REPSOL,ARAFO,38,1.489,1.649
2026-04-14,H2EXAGON ARAFO,ARAFO,38,1.357,1.499
2026-04-14,PLENERGY,ARAFO,38,1.347,1.489
2026-04-14,BP POLIGONO GUIMAR,ARAFO,38,1.465,1.649
2026-04-14,TGAS LA HIDALGA,HIDALGA (LA),38,1.439,1.629
2026-04-14,REPSOL,HIDALGA (LA),38,1.459,1.639
2026-04-14,CEPSA,CISNERA,38,1.419,1.599
2026-04-14,DISA,ARICO NUEVO,38,1.439,1.624
2026-04-14,REPSOL,PORIS DE ABONA,38,1.439,1.624
2026-04-14,ESTACIÓN ABADES KM 44,ARICO,38,1.411,1.559
2026-04-14,CEPSA,ARICO,38,1.419,1.624
2026-04-14,TGAS LAS GALLETAS,ARONA,38,1.379,1.549
2026-04-14,CEPSA,ARONA,38,1.449,1.614
2026-04-14,TGAS ARONA,ARONA,38,1.44,1.59
2026-04-14,MOEVE LLANO AZUL,ARONA,38,1.449,1.614
2026-04-14,DISA,CAMELLA(LA),38,1.449,1.614
2026-04-14,CEPSA,VALLE DE SAN LORENZO,38,1.449,1.614
2026-04-14,BP CABO BLANCO,CABO BLANCO,38,1.474,1.648
2026-04-14,BP LOS CRISTIANOS,CRISTIANOS(LOS),38,1.465,1.649
2026-04-14,BP PLAYA LAS AMERICAS,PLAYA DE LAS AMERICAS (ARONA),38,1.465,1.649
2026-04-14,CEPSA COSTA DEL SILENCIO,COSTA DEL SILENCIO,38,1.379,1.564
2026-04-14,BP GUAZA,ARONA,38,1.464,1.648
2026-04-14,REPSOL,ARONA,38,1.459,1.609
2026-04-14,SHELL ARONA,ARONA,38,1.465,1.629
2026-04-14,BP TEN BEL,ARONA,38,1.449,1.629
2026-04-14,SHELL,BARLOVENTO,38,1.569,1.599
2026-04-14,DISA,SAN PEDRO DE BREÑA ALTA,38,1.699,1.619
2026-04-14,SHELL,BREÑA,38,1.695,1.619
2026-04-14,MOEVE,BREÑA ALTA,38,1.622,1.599
2026-04-14,DISA,BUENAVISTA DEL NORTE,38,1.495,1.679
2026-04-14,DISA CANDELARIA,CANDELARIA,38,1.475,1.649
2026-04-14,TGAS,CALETILLAS (LAS),38,1.559,1.699
2026-04-14,DISA LAS CALETILLAS,CALETILLAS (LAS),38,1.575,1.755
2026-04-14,PCAN,BARRANCO HONDO,38,1.459,1.638
2026-04-14,CEPSA,FASNIA,38,1.439,1.644
2026-04-14,DISA,FASNIA,38,1.479,1.639
2026-04-14,REPSOL,FASNIA,38,1.479,1.639
2026-04-14,DISA EL PINAR,PINAR (EL),38,1.619,1.749
2026-04-14,DISA FRONTERA,FRONTERA,38,1.619,1.749
2026-04-14,"DEL VALLE COMBUSTIBLES, S.L.",FRONTERA,38,1.551,1.678
2026-04-14,PCAN,FUENCALIENTE,38,1.539,1.589
2026-04-14,E.S. LA CALETA,GARACHICO,38,1.459,1.649
2026-04-14,TGAS GARAFÍA,GARAFIA,38,1.605,1.82
2026-04-14,PCAN,GRANADILLA DE ABONA,38,1.421,1.569
2026-04-14,MOEVE,GRANADILLA DE ABONA,38,1.449,1.639
2026-04-14,DISA GRANADILLA,GRANADILLA DE ABONA,38,1.505,1.675
2026-04-14,CEPSA LOS LLANOS (MOEVE) - GRANADILLA,GRANADILLA DE ABONA,38,1.439,1.594
2026-04-14,REPSOL,SAN ISIDRO,38,1.439,1.624
2026-04-14,DISA SAN ISIDRO,SAN ISIDRO,38,1.485,1.659
2026-04-14,TGAS EL MÉDANO,MEDANO (EL),38,1.459,1.634
2026-04-14,BP AEROPUERTO REINA SOFIA,AEROPUERTO REINA SOFIA (SANTA CRUZ DE TENERIFE),38,1.465,1.649
2026-04-14,REPSOL,AEROPUERTO REINA SOFIA (SANTA CRUZ DE TENERIFE),38,1.479,1.639
2026-04-14,TGAS SANTA CATALINA,GUANCHA (LA),38,1.477,1.597
2026-04-14,PCAN,GUANCHA (LA),38,1.402,1.569
2026-04-14,DISA           STO DOMINGO,SANTO DOMINGO,38,1.409,1.539
2026-04-14,DISA,GUIA DE ISORA,38,1.499,1.599
2026-04-14,CEPSA,GUIA DE ISORA,38,1.429,1.604
2026-04-14,SHELL,GUIA DE ISORA,38,1.499,1.599
2026-04-14,E.S. CEPSA CHIO,CHIO,38,1.479,1.609
2026-04-14,DISA PLAYA SAN JUAN,PLAYA DE SAN JUAN,38,1.495,1.629
2026-04-14,PCAN,ALCALA,38,1.421,1.589
2026-04-14,OCÉANO,GÜIMAR,38,1.347,1.599
2026-04-14,MOEVE,GÜIMAR,38,1.439,1.629
2026-04-14,DISA PUERTITO,GÜIMAR,38,1.439,1.629
2026-04-14,SHELL GUIMAR,GÜIMAR,38,1.439,1.629
2026-04-14,DISA GÜIMAR,GÜIMAR,38,1.475,1.649
2026-04-14,EL ESCOBONAL,ESCOBONAL (EL),38,1.439,1.609
2026-04-14,DISA HERMIGUA,HERMIGUA,38,1.669,1.859
2026-04-14,RED DE COMBUSTIBLES CANARIOS,ICOD DE LOS VINOS,38,1.369,1.499
2026-04-14,CEPSA,ICOD DE LOS VINOS,38,1.459,1.654
2026-04-14,DISA ICOD DE LOS VINOS,ICOD DE LOS VINOS,38,1.485,1.669
2026-04-14,SHELL ICOD DE LOS VINOS,ICOD DE LOS VINOS,38,1.505,1.689
2026-04-14,BP LOS LLANOS,LLANOS DE ARIDANE (LOS),38,1.615,
2026-04-14,DISA ,LLANOS DE ARIDANE (LOS),38,1.695,1.619
2026-04-14,SHELL,LLANOS DE ARIDANE (LOS),38,1.695,1.619
2026-04-14,DISA LA MATANZA,MATANZA DE ACENTEJO (LA),38,1.515,1.659
2026-04-14,DISA EL BOHIO,MATANZA DE ACENTEJO (LA),38,1.498,1.686
2026-04-14,SHELL ACENTEJO,GUIA,38,1.515,1.659
2026-04-14,BP EL RAMAL,OROTAVA (LA),38,1.465,1.649
2026-04-14,DISA,OROTAVA (LA),38,1.465,1.649
2026-04-14,CEPSA LA CAÑADA,OROTAVA (LA),38,1.419,1.599
2026-04-14,REPSOL BARROSO,OROTAVA (LA),38,1.499,1.599
2026-04-14,PLENERGY,LUZ (LA),38,1.385,1.559
2026-04-14,BP EL TROMPO,SAN JERONIMO,38,1.465,1.649
2026-04-14,PLENERGY,ARENAS (LAS),38,1.385,1.559
2026-04-14,REPSOL,PERDOMA (LA),38,1.459,1.669
2026-04-14,SHELL LA PERDOMA,OROTAVA (LA),38,1.475,1.659
2026-04-14,SHELL,PASO (EL),38,1.605,1.619
2026-04-14,DISA,PASO (EL),38,1.695,1.619
2026-04-14,BP PUERTO DE LA CRUZ,PUERTO DE LA CRUZ,38,1.465,1.649
